         476        1428
 (1.05835705785326,0.220290925221084)
 (-3.124728710072096E-005,1.369073278740742E-004)
 (-6.115123563731962E-003,-2.092568810196054E-002)
 (1.05828716402582,0.221374172056396)
 (-2.614721540163109E-005,3.962719196262102E-005)
 (6.144393028779345E-003,2.084949875408893E-002)
 (1.06151967435643,0.272877856241859)
 (4.170127403441539E-005,7.032779625920036E-005)
 (-2.481773936179876E-003,1.637741685915431E-002)
 (1.06013167797969,0.320432656422120)
 (6.993388696095116E-005,2.236257364838425E-005)
 (-8.580341330171876E-003,1.178021575643470E-002)
 (1.05666095134115,0.356344610674501)
 (-1.603767148596834E-005,7.055967609126499E-005)
 (-1.005740007322777E-002,7.392583718942617E-003)
 (1.05324953612593,0.378678034198046)
 (-3.223300098323204E-005,9.449156682734463E-006)
 (-6.580756758525172E-003,3.660837135007736E-003)
 (1.05215737949008,0.386029033309698)
 (-7.231431233171066E-006,-4.935853254086064E-005)
 (-1.174412887267352E-006,1.613486575463034E-004)
 (1.05330777694729,0.378530993541084)
 (-2.759513367196232E-005,-4.794632217429997E-005)
 (6.618363304705993E-003,-3.367370437080429E-003)
 (1.05646442357508,0.356237104069426)
 (-9.650024032089814E-005,-2.963322197374369E-005)
 (1.008597971068354E-002,-7.205017161287761E-003)
 (1.05983322927080,0.319865266888301)
 (-3.682812864062407E-005,-1.221513946936734E-004)
 (8.570914628549536E-003,-1.149596339165090E-002)
 (1.06173486732720,0.272943006981806)
 (6.807809123666379E-005,-1.792965770347351E-004)
 (2.434944216538981E-003,-1.633178688927532E-002)
 (1.06156777663597,0.280861001090536)
 (1.239734201909303E-003,-4.594877703941157E-003)
 (-3.479423178561561E-003,1.483678138759609E-002)
 (1.06182023984229,0.299732162163645)
 (1.912663177628346E-003,-4.806256909624905E-003)
 (5.795994055045310E-003,-1.340609960434059E-002)
 (1.05329989875704,0.378583254644063)
 (-5.763090484776706E-003,2.998388801230376E-003)
 (-3.330773998089149E-003,1.964816914542121E-003)
 (1.05840753714117,0.335655726524874)
 (-3.637280241408540E-003,3.624607173839469E-003)
 (9.042248815705893E-003,-9.198343812117869E-003)
 (1.06122964576076,0.298538404705808)
 (-1.911975353881034E-003,4.342910926379791E-003)
 (-5.689396665294950E-003,1.350131869322106E-002)
 (1.05527394019273,0.365137175319691)
 (5.148410432466158E-003,-3.327287844157703E-003)
 (7.859635028914718E-003,-4.899267303914118E-003)
 (1.05583650345699,0.363531537117390)
 (5.346498365181870E-003,-3.416238219179387E-003)
 (-8.004958071293276E-003,5.333861076518227E-003)
 (1.06086970282204,0.246233788455183)
 (5.193490427489946E-004,5.270126535450191E-003)
 (-1.842528102535037E-003,-1.815224078193384E-002)
 (1.05866151068057,0.335316204497923)
 (3.603487904803906E-003,-3.625012824767236E-003)
 (9.020822902198661E-003,-9.122383506468556E-003)
 (1.06008542613019,0.325223745663558)
 (3.518887874370219E-003,-4.028431315168645E-003)
 (-8.495099089447698E-003,1.009682066684016E-002)
 (1.05341037537866,0.378380375344585)
 (-5.797639044453832E-003,2.993130928677177E-003)
 (3.339726202597170E-003,-1.602192372981173E-003)
 (1.05554722364201,0.363156658990642)
 (-9.671985433535670E-003,6.220780534500548E-003)
 (-5.939875234555294E-005,2.064382352365214E-004)
 (1.05602509127804,0.357657942209315)
 (-8.700251069765030E-003,6.130474963446952E-003)
 (-4.996602851228186E-003,3.803723913928158E-003)
 (1.05632923250528,0.356232414495178)
 (-8.631350650632806E-003,6.144871029983148E-003)
 (5.281940107281435E-003,-3.689881599265282E-003)
 (1.05896638212968,0.333367089526043)
 (-9.529427826320059E-003,9.794496280286866E-003)
 (1.840776827926745E-003,-1.829146649373334E-003)
 (1.05971481137724,0.320395759675390)
 (-7.204512241874786E-003,9.701889408614377E-003)
 (4.699239781834307E-003,-6.300456409461275E-003)
 (1.06161540377693,0.245924965924607)
 (6.859128439039817E-004,5.105064440789396E-003)
 (2.204034872764364E-003,1.861380304163011E-002)
 (1.06126115055218,0.292999328441643)
 (-1.607998378175356E-003,4.157435577997090E-003)
 (5.143780511972298E-003,-1.372131118853178E-002)
 (1.06138852927666,0.264865490590027)
 (-7.348783544953529E-004,9.613379319440209E-003)
 (1.020408252313700E-003,-1.404346911465735E-002)
 (1.05302614550744,0.379174108238181)
 (5.482615188102928E-003,-2.923870402939385E-003)
 (-3.379085900009828E-003,1.924889393016158E-003)
 (1.05300794312025,0.378942440348105)
 (5.702403985865794E-003,-3.087551701574185E-003)
 (3.148725410746667E-003,-1.542064625239835E-003)
 (1.05562282369810,0.360284218088743)
 (9.015929258395084E-003,-6.319416431034472E-003)
 (3.868511012917352E-003,-2.644378946753330E-003)
 (1.06133556330034,0.292078533690478)
 (3.105813445255924E-003,-8.526816093265431E-003)
 (-4.214169342420897E-003,1.178656859412727E-002)
 (1.06117277006866,0.291057485524855)
 (-4.956636556103794E-003,1.386586968719914E-002)
 (1.503804274923129E-003,-4.158550126729619E-003)
 (1.06127230899988,0.263670482756731)
 (-5.740113527820041E-004,9.142374941632643E-003)
 (-7.922026257951305E-004,1.469635949662470E-002)
 (1.05588871529109,0.358159252136666)
 (8.949009922687533E-003,-6.385796344475712E-003)
 (-4.364028456701330E-003,3.272984624810215E-003)
 (1.06063687847898,0.303575830767597)
 (4.131116433179978E-003,-8.135581260039470E-003)
 (5.372311732896645E-003,-1.041281406543034E-002)
 (1.06154678559598,0.252094006356083)
 (-5.000527437824799E-004,-9.544671392146958E-003)
 (-8.102882048521988E-004,-1.573524461921810E-002)
 (1.06095137878789,0.296657952778008)
 (-5.956219516032557E-003,1.381527405744629E-002)
 (-2.373634659583550E-004,5.900685534492865E-004)
 (1.06042528902498,0.311560380574449)
 (-4.601967056601029E-003,7.522242386093841E-003)
 (-6.050665061035470E-003,1.032600964573312E-002)
 (1.06170112380397,0.276729677163540)
