         476        1428
 (6.348025669162213E-004,-2.381342285441355E-003)
 (-1.342622222291841E-005,1.139750383142712E-003)
 (2.600002869609629E-004,-3.396122268331151E-002)
 (4.602192199821233E-004,-4.123467204582976E-003)
 (-2.042214434570458E-005,5.886249185307442E-004)
 (-8.213015944720002E-004,2.362796781295065E-002)
 (8.313198720973233E-003,-4.255317125226998E-002)
 (-1.515283995417965E-004,8.195188211250035E-004)
 (-7.434879419183566E-003,4.322700894215541E-002)
 (2.751713549831093E-002,-7.958897543633048E-002)
 (3.041716678633044E-004,-9.966958550517082E-004)
 (-1.256722816985202E-002,3.788166819491245E-002)
 (5.202569663768007E-002,-0.106084113477053)
 (8.579816204260618E-004,-1.851942206874293E-003)
 (-1.257443536941489E-002,2.623059279974820E-002)
 (6.717219548860902E-002,-0.112940031588755)
 (1.806083876051096E-004,-3.289525997401835E-004)
 (-7.239901049192766E-003,1.238192519271390E-002)
 (7.540702412776154E-002,-0.119367784627681)
 (-1.339228753196613E-004,2.152482478781524E-004)
 (2.575830967293841E-005,-4.139777016654890E-005)
 (6.834109741176118E-002,-0.114876505727922)
 (2.573204415508962E-005,-4.599851428849070E-005)
 (7.284151413534990E-003,-1.245359070821870E-002)
 (5.018281693260108E-002,-0.101701046042563)
 (2.949346546547534E-004,-5.721104398424554E-004)
 (1.200424777589277E-002,-2.487491381244673E-002)
 (2.814881653009770E-002,-7.986920627343271E-002)
 (5.709473215305671E-005,-1.885733730534459E-004)
 (1.253482373722321E-002,-3.698123584828052E-002)
 (8.773449148141748E-003,-4.522642127933830E-002)
 (2.943905840679012E-004,-1.863316983460115E-003)
 (8.105127219490546E-003,-4.780112799523824E-002)
 (1.222504760554843E-002,-5.264090970818468E-002)
 (2.611910402399215E-003,-1.245598343242131E-002)
 (-8.560745163434932E-003,3.981281923481438E-002)
 (1.598003679353779E-002,-6.254762553001963E-002)
 (3.477493258669933E-003,-1.509325022979372E-002)
 (1.093147903318684E-002,-4.771702059489082E-002)
 (6.716951546544221E-002,-0.112742539109846)
 (-6.153797014155212E-003,1.050097297845414E-002)
 (-3.419581503890949E-003,5.828501148994474E-003)
 (3.185663224128511E-002,-7.802009689844419E-002)
 (-3.792670492864416E-003,9.593037766263910E-003)
 (1.079474595255241E-002,-2.717674697480253E-002)
 (1.635840048991657E-002,-6.078005592880749E-002)
 (-3.152822263127643E-003,1.251883885222211E-002)
 (-1.001688938176948E-002,3.978251233964933E-002)
 (5.630078002459356E-002,-0.106138405845838)
 (5.781117378031362E-003,-1.110170534577447E-002)
 (9.308057607787223E-003,-1.787119160676046E-002)
 (5.928441998136573E-002,-0.114379169030169)
 (6.414651207255717E-003,-1.267548598975154E-002)
 (-1.072345415971526E-002,2.119480800475928E-002)
 (2.652904877749151E-003,-2.102389344139187E-002)
 (-1.094275259773812E-003,1.323034625289035E-002)
 (3.690571413447519E-003,-4.519871870903721E-002)
 (3.683018559536282E-002,-8.913982253924968E-002)
 (4.749577698519681E-003,-1.184041276487515E-002)
 (1.165026011792229E-002,-2.894666921436307E-002)
 (3.792214571806103E-002,-9.818276473230994E-002)
 (5.379869021262839E-003,-1.455505608586282E-002)
 (-1.322424062860885E-002,3.565686151284778E-002)
 (6.971373118440120E-002,-0.117429389969789)
 (-6.498377864765725E-003,1.113199981757749E-002)
 (3.805661443266040E-003,-6.522838945229048E-003)
 (5.569062576366804E-002,-0.106393649877988)
 (-1.124869744911496E-002,2.195202053714704E-002)
 (7.861924219624746E-005,-1.442286545313554E-004)
 (4.513037427113845E-002,-8.997828281584656E-002)
 (-9.040883102170350E-003,1.841247807294389E-002)
 (-4.994145951981790E-003,1.013021924570130E-002)
 (4.763773987940101E-002,-9.604502540017019E-002)
 (-9.726639865637932E-003,2.006601204842187E-002)
 (5.491203807044865E-003,-1.128737928696696E-002)
 (3.571609779042806E-002,-8.905178680963700E-002)
 (-1.269434610560537E-002,3.267025770665376E-002)
 (2.511289881292930E-003,-6.445341753154427E-003)
 (2.558391588627504E-002,-7.224150660219467E-002)
 (-9.761187333989060E-003,2.860568930529243E-002)
 (6.020246834878484E-003,-1.771376796873517E-002)
 (2.920056211700233E-003,-1.559722166275365E-002)
 (-8.982981522245238E-004,1.559203563881546E-002)
 (-3.159586895164169E-003,5.673827884256035E-002)
 (1.588332411699014E-002,-6.042882909471178E-002)
 (-3.193554770034250E-003,1.299441263839634E-002)
 (9.846810109753152E-003,-3.989354229778400E-002)
 (6.608194602182582E-003,-3.848202712967361E-002)
 (-3.782700233587893E-003,2.541734456277749E-002)
 (5.627401611542858E-003,-3.816843956837240E-002)
 (6.199347527392472E-002,-0.103466989646912)
 (5.245531406972107E-003,-8.893708564778651E-003)
 (-3.447638356687757E-003,5.858200720575833E-003)
 (6.140329800766504E-002,-0.102183186020811)
 (5.128430116169227E-003,-8.659375877813458E-003)
 (3.107490080583675E-003,-5.254969722150674E-003)
 (4.559916571426904E-002,-8.964114132044290E-002)
 (9.344390296889540E-003,-1.872037008977645E-002)
 (4.416930909651500E-003,-8.810857378894846E-003)
 (1.517240672879878E-002,-5.889531099324478E-002)
 (5.986187672471163E-003,-2.495037860204392E-002)
 (-8.052165723139318E-003,3.356725770815462E-002)
 (1.416575927054339E-002,-5.535235964536041E-002)
 (-9.015748033245579E-003,3.781669136546568E-002)
 (2.889582915785202E-003,-1.221266125321890E-002)
 (6.124624708815058E-003,-3.588838526902894E-002)
 (-3.438924005686652E-003,2.364004865480447E-002)
 (-5.398758436139096E-003,3.698515537036948E-002)
 (4.475588331177837E-002,-8.892141996221560E-002)
 (9.118360119346362E-003,-1.847413096260708E-002)
 (-4.818300228859860E-003,9.751557706866342E-003)
 (1.830098651282972E-002,-6.224855557810956E-002)
 (6.276949361901694E-003,-2.255218872734259E-002)
 (8.235050075969030E-003,-2.964638670862800E-002)
 (4.182216521680143E-003,-2.801610472187006E-002)
 (2.520083883761420E-003,-2.597530450993932E-002)
 (4.494652257376435E-003,-4.557862899272441E-002)
 (1.579347408229233E-002,-5.707535428967007E-002)
 (-9.476936279695697E-003,3.615531487660564E-002)
 (-2.752197670416352E-004,1.176666558147115E-003)
 (2.080333485495675E-002,-6.550866885270862E-002)
 (-6.483179665639681E-003,2.137333773171452E-002)
 (-8.723256979395451E-003,2.864101169947822E-002)
 (1.031288653759325E-002,-4.862910086634441E-002)
 (-6.684542237194594E-003,3.531599603928331E-002)
 (-5.397439472292667E-003,2.859480379257971E-002)
 (1.000769804042382E-002,-5.067338846658093E-002)
 (-7.420057459911237E-003,4.515636668762820E-002)
 (5.336544426724111E-003,-3.162927486088185E-002)
 (1.994799269219688E-003,-1.530786206525967E-002)
 (-2.678810713665393E-003,4.256326133377913E-002)
 (1.022013643230669E-003,-1.504706731453253E-002)
 (1.151967784893335E-003,5.886682815335907E-003)
 (5.507415701217112E-004,2.282835923998477E-002)
 (-9.466351385987861E-004,-4.021733633140172E-002)
 (3.025702263084689E-003,2.265132380807751E-002)
 (9.590801306328542E-004,1.073200920207339E-002)
 (-4.000503872998087E-003,-4.380229176388210E-002)
 (1.006018640981503E-002,4.679479418229580E-002)
 (3.855281615583888E-003,1.997011912058907E-002)
 (-7.386171052977665E-003,-3.811856413633707E-002)
 (1.697170095844886E-002,6.219624740821156E-002)
 (1.773961350012939E-003,6.926564000713901E-003)
 (-1.039968643481521E-002,-4.060651343616671E-002)
 (4.071539116530311E-003,2.721542425848769E-002)
 (3.468879870964699E-003,2.836004003755813E-002)
 (-3.592796351387759E-003,-2.940076772040298E-002)
 (3.817331170915274E-002,-9.105237171399347E-002)
 (9.499279256657870E-003,-2.331524650275259E-002)
 (8.655981507336090E-003,-2.115542075090830E-002)
 (1.687886302849248E-002,-6.101894703074900E-002)
 (8.750231341153618E-003,-3.421002036483960E-002)
 (5.549813303690901E-003,-2.142943810767090E-002)
 (3.595186672256600E-002,-9.012709531125800E-002)
 (9.374219822504307E-003,-2.427806035715766E-002)
 (-9.159878082719172E-003,2.370518180615635E-002)
 (1.537064733192889E-002,-5.858082262603143E-002)
 (8.356956656456886E-003,-3.407245070974600E-002)
 (-5.581305425727078E-003,2.274946079436820E-002)
 (3.317889794224106E-003,-2.385456754764769E-002)
 (3.234946537008361E-003,-3.344563400851936E-002)
 (-2.951474643241006E-003,3.049373742653578E-002)
 (3.248178361733302E-002,8.677235935253019E-002)
 (5.970351285973536E-003,1.643107549018283E-002)
 (-1.160517049805466E-002,-3.216794409359312E-002)
 (3.854608874284007E-002,9.184704146394970E-002)
 (8.269270562451501E-004,2.027803785375670E-003)
 (-1.289104724706309E-002,-3.161164821964797E-002)
 (3.147993113698507E-003,-2.326549699307459E-002)
 (3.922232830385620E-003,-4.165262061690578E-002)
 (-1.823662816980203E-003,1.921955041428307E-002)
 (1.751816600001828E-003,1.371464659972149E-002)
 (-2.124275745517816E-003,-3.933126005056380E-002)
 (1.422040514623681E-003,2.632924667485635E-002)
 (1.677119231716595E-003,1.366978630701505E-002)
 (-2.438814867481538E-003,-4.354182762391870E-002)
 (7.052952145670152E-004,1.262946536247525E-002)
 (1.113279908293529E-002,4.967442976786532E-002)
 (-7.923793453388086E-003,-3.885630375481482E-002)
 (3.714177936133234E-003,1.818276621832892E-002)
 (4.871584838425071E-002,9.588532481547338E-002)
 (4.286322334308310E-003,8.654030549702625E-003)
 (-1.016698729610917E-002,-2.040178348391643E-002)
 (1.156974011159252E-003,-4.533020911089169E-003)
 (-6.040219566892213E-004,3.306344926867428E-002)
 (-5.875350053339119E-004,3.156112234526963E-002)
 (1.018241091591605E-002,4.598964159418235E-002)
 (-5.904809630480060E-003,-2.947608514579575E-002)
 (5.506206657447506E-003,2.737765418359885E-002)
 (2.888388103076499E-002,8.051204012162828E-002)
 (-1.021244353872298E-002,-2.954959500673759E-002)
 (7.148400389737918E-003,2.067887571694051E-002)
 (2.475615444588056E-002,7.240512837282531E-002)
 (-6.223503158425687E-003,-1.891503499387746E-002)
 (9.512671148025372E-003,2.880200737810570E-002)
 (7.794127387409812E-003,3.784221962620000E-002)
 (-6.873689675214434E-003,-3.631928157739415E-002)
 (8.487756663682036E-004,4.405065422932571E-003)
 (4.402854767913339E-002,9.343785464032942E-002)
 (-7.537582689480415E-003,-1.634771605477281E-002)
 (9.175935176055468E-003,1.982453160700367E-002)
 (4.404994437734076E-002,0.102536032719110)
 (-3.058025049160650E-003,-7.249431900203652E-003)
 (1.351404689641254E-002,3.248381458139971E-002)
 (5.746866523467067E-002,0.107266348506153)
 (-1.732124543442420E-003,-3.282614369611529E-003)
 (-1.067398780184212E-002,-2.030252894648706E-002)
 (3.839378232641003E-002,9.095987297130252E-002)
 (-4.741455234681745E-003,-1.156876242951845E-002)
 (-1.173009427811398E-002,-2.856153364422496E-002)
 (6.992941063287476E-002,0.124831259314036)
 (-2.929785067999476E-003,-5.303676963134401E-003)
 (1.070842894448370E-002,1.951986324232798E-002)
 (5.393502224632048E-002,0.114477198562373)
 (2.428213005569154E-003,5.323323170469963E-003)
 (1.411969952408258E-002,3.094585233862461E-002)
 (5.506043195930831E-002,0.107363740650383)
 (-8.028895537713927E-003,-1.593429276662587E-002)
 (-8.514562750170264E-003,-1.699559413658781E-002)
 (3.183296136389614E-002,8.537542629016219E-002)
 (-9.265586179966343E-003,-2.578121151370652E-002)
 (-9.281288561072297E-003,-2.575041836011772E-002)
 (6.460292657799822E-002,0.112670100912103)
 (4.496393643063280E-003,7.939580770149961E-003)
 (7.805636871439076E-003,1.385626763146962E-002)
 (4.639302072312299E-002,9.883090083366566E-002)
 (8.078370737501232E-003,1.755462691581301E-002)
 (9.367321581218006E-003,2.037479862963215E-002)
 (4.578341745501487E-002,0.101428245841397)
 (1.027372006116285E-002,2.322369732040261E-002)
 (-8.829070704213442E-003,-2.016334811945843E-002)
 (2.970924054836088E-002,8.715165414067493E-002)
 (6.139915812346644E-003,1.915884358075618E-002)
 (1.266631054330883E-002,3.910145315109421E-002)
 (1.641966890310406E-002,6.051510130600101E-002)
 (-2.489115670868888E-003,-9.642577391996915E-003)
 (1.012904667584335E-002,4.016995624155027E-002)
 (1.303843429605164E-003,1.153477032354267E-002)
 (-2.116412627787459E-003,-3.733780988232057E-002)
